storeName,Cust ID,YEAR,MONTH,DAY
Toledo Autocare - HEATHERDOWNS - OH,b931c2b1-2ab5-4fbe-9010-487ae17171c2,1954,1,
Toledo Autocare - HEATHERDOWNS - OH,5feb8a63-5ab5-4f1b-8ba4-ef9490430967,1968,1,
Toledo Autocare - HEATHERDOWNS - OH,38d41f31-2416-4ee8-82a2-1441a2d67faf,1979,1,
Toledo Autocare - HEATHERDOWNS - OH,31dbb7da-418d-4cdc-a89a-9d09d5332cb2,1910,1,
Highline Car Care - AZ,cb719805-3876-44e8-a259-ca670651e202,1921,1,
Toledo Autocare - Monroe Street - OH,b58ae27a-40c8-476a-a140-8482873b3353,1924,1,
Wayside Garage - CA,def905d0-0cd1-43a4-bdba-50b40ada8bc6,1925,1,
Toledo Autocare - HEATHERDOWNS - OH,d9324d9d-409e-4d4d-838c-c46c2c4432ad,1928,1,
Toledo Autocare - HEATHERDOWNS - OH,9a2637e5-058b-463a-b858-88946cf53ade,1928,1,
Toledo Autocare - B&L Whitehouse - OH,50d9b42e-d4d4-4b2a-85ca-36f2b245b9dc,1930,1,
Toledo Autocare - Monroe Street - OH,7da996a9-a75b-4b6b-8a8a-1364dd7a39e4,1930,1,
Toledo Autocare - Monroe Street - OH,b7291cf5-c8e1-4180-a1d4-33a144f961ca,1930,1,
Wayside Garage - CA,c931f838-497e-4da5-9a80-009981f226b3,1930,1,
Sours VA,757a4600-323b-41eb-a1da-3ac41a4eaf66,1930,1,
Toledo Autocare - B&L Whitehouse - OH,944e20d7-44ef-493c-89a4-71fc94b4fd76,1931,1,
Toledo Autocare - B&L Whitehouse - OH,4fbf4d0b-b2fa-4a83-8b4b-fc5ade7b8f4a,1931,1,
Toledo Autocare - HEATHERDOWNS - OH,095e391f-5347-4e24-995a-2cd0f2dde500,1931,1,
Toledo Autocare - B&L Whitehouse - OH,91438e19-2f25-467b-aaf5-5a9306755466,1931,1,
Toledo Autocare - B&L Whitehouse - OH,bee154c7-cdd7-45e4-969c-8f07b64bd9aa,1932,1,
Toledo Autocare - B&L Whitehouse - OH,8e52bcc1-deb0-49a9-adca-6b3d220c4b7f,1934,1,
